image_path,year,timepoint,location,nitrogen_amount,experiment,block,row,column,genotype,planting_date,stand_count,yield,image_collection_date,p2i_days,experiment_id,sample_id,set,rank
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_14_7.TIF,2022,TP1,Ames,1.0,4231,3.0,7,14,2369 X LH123HT,2022-05-22,64.0,87.35,2022-07-15,54,2022_Ames_4231,Ames_4231_14_7,val,0.9083333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_15_2.TIF,2022,TP1,Ames,1.0,4231,3.0,2,15,PHK76 X LH82,2022-05-22,62.0,118.06,2022-07-15,54,2022_Ames_4231,Ames_4231_15_2,val,0.6333333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_15_3.TIF,2022,TP1,Ames,1.0,4231,3.0,3,15,PIONEER P0589 AMXT,2022-05-22,60.0,207.13,2022-07-15,54,2022_Ames_4231,Ames_4231_15_3,val,0.325
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_15_4.TIF,2022,TP1,Ames,1.0,4231,3.0,4,15,PHN46 X PHK56,2022-05-22,55.0,138.53,2022-07-15,54,2022_Ames_4231,Ames_4231_15_4,val,0.6416666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_15_5.TIF,2022,TP1,Ames,1.0,4231,3.0,5,15,PHP02 X PHK56,2022-05-22,58.0,140.97,2022-07-15,54,2022_Ames_4231,Ames_4231_15_5,val,0.425
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_15_6.TIF,2022,TP1,Ames,1.0,4231,3.0,6,15,LH185 X LH82,2022-05-22,53.0,155.39,2022-07-15,54,2022_Ames_4231,Ames_4231_15_6,val,0.39166666666666666
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_15_7.TIF,2022,TP1,Ames,1.0,4231,3.0,7,15,PHP02 X PHJ89,2022-05-22,61.0,94.73,2022-07-15,54,2022_Ames_4231,Ames_4231_15_7,val,0.45
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_16_2.TIF,2022,TP1,Ames,1.0,4231,3.0,2,16,PHK56 X LH185,2022-05-22,60.0,144.65,2022-07-15,54,2022_Ames_4231,Ames_4231_16_2,val,0.4666666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_16_3.TIF,2022,TP1,Ames,1.0,4231,3.0,3,16,LH198 X PHB47,2022-05-22,62.0,129.24,2022-07-15,54,2022_Ames_4231,Ames_4231_16_3,val,0.85
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_16_4.TIF,2022,TP1,Ames,1.0,4231,3.0,4,16,PHP02 X PHG47,2022-05-22,61.0,170.55,2022-07-15,54,2022_Ames_4231,Ames_4231_16_4,val,0.5166666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_16_5.TIF,2022,TP1,Ames,1.0,4231,3.0,5,16,PHK56 X 3IIH6,2022-05-22,47.0,143.62,2022-07-15,54,2022_Ames_4231,Ames_4231_16_5,val,0.725
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_17_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,17,PHB47 X PHK56,2022-05-22,63.0,121.24,2022-07-15,54,2022_Ames_4231,Ames_4231_17_2,val,0.4583333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_17_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,17,B84 X 3IIH6,2022-05-22,61.0,143.8,2022-07-15,54,2022_Ames_4231,Ames_4231_17_3,val,0.775
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_17_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,17,LH195 X LH185,2022-05-22,66.0,105.03,2022-07-15,54,2022_Ames_4231,Ames_4231_17_4,val,0.5083333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_17_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,17,LH82 X PHJ89,2022-05-22,65.0,124.13,2022-07-15,54,2022_Ames_4231,Ames_4231_17_5,val,0.525
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_17_6.TIF,2022,TP1,Ames,1.0,4231,4.0,6,17,LH195 X 3IIH6,2022-05-22,68.0,130.76,2022-07-15,54,2022_Ames_4231,Ames_4231_17_6,val,0.7166666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_17_7.TIF,2022,TP1,Ames,1.0,4231,4.0,7,17,LH82 X W606S,2022-05-22,64.0,115.33,2022-07-15,54,2022_Ames_4231,Ames_4231_17_7,val,0.5916666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_18_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,18,PHK56 X 3IIH6,2022-05-22,58.0,133.72,2022-07-15,54,2022_Ames_4231,Ames_4231_18_2,val,0.725
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_18_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,18,LH123HT X 3IIH6,2022-05-22,62.0,119.22,2022-07-15,54,2022_Ames_4231,Ames_4231_18_3,val,0.8166666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_18_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,18,PHN46 X PHK56,2022-05-22,45.0,159.78,2022-07-15,54,2022_Ames_4231,Ames_4231_18_4,val,0.6416666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_18_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,18,PHK76 X LH82,2022-05-22,62.0,125.79,2022-07-15,54,2022_Ames_4231,Ames_4231_18_5,val,0.6333333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_18_6.TIF,2022,TP1,Ames,1.0,4231,4.0,6,18,PHP02 X PHN46,2022-05-22,64.0,139.12,2022-07-15,54,2022_Ames_4231,Ames_4231_18_6,val,0.65
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_18_7.TIF,2022,TP1,Ames,1.0,4231,4.0,7,18,PHZ51 X LH145,2022-05-22,65.0,99.93,2022-07-15,54,2022_Ames_4231,Ames_4231_18_7,train,0.9583333333333334
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_19_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,19,PHK76 X LH145,2022-05-22,62.0,89.87,2022-07-15,54,2022_Ames_4231,Ames_4231_19_2,train,0.95
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_19_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,19,N209 X 3IIH6,2022-05-22,68.0,123.8,2022-07-15,54,2022_Ames_4231,Ames_4231_19_3,train,0.4166666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_19_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,19,B105 X 3IIH6,2022-05-22,64.0,111.85,2022-07-15,54,2022_Ames_4231,Ames_4231_19_4,train,0.9333333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_19_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,19,PHK76 X W606S,2022-05-22,57.0,91.66,2022-07-15,54,2022_Ames_4231,Ames_4231_19_5,train,0.825
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_19_6.TIF,2022,TP1,Ames,1.0,4231,4.0,6,19,F42 X MO17,2022-05-22,62.0,165.92,2022-07-15,54,2022_Ames_4231,Ames_4231_19_6,train,0.6666666666666666
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_19_7.TIF,2022,TP1,Ames,1.0,4231,4.0,7,19,PHJ40 X LH82,2022-05-22,68.0,139.37,2022-07-15,54,2022_Ames_4231,Ames_4231_19_7,train,0.625
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_20_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,20,SYNGENTA NK0760-3111,2022-05-22,71.0,183.75,2022-07-15,54,2022_Ames_4231,Ames_4231_20_2,train,0.8583333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_20_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,20,LH82 X PHB47,2022-05-22,61.0,112.56,2022-07-15,54,2022_Ames_4231,Ames_4231_20_3,train,0.925
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_20_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,20,LH195 X PHZ51,2022-05-22,70.0,112.79,2022-07-15,54,2022_Ames_4231,Ames_4231_20_4,train,0.8083333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_20_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,20,B73 X 3IIH6,2022-05-22,64.0,124.98,2022-07-15,54,2022_Ames_4231,Ames_4231_20_5,train,0.5416666666666666
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_20_6.TIF,2022,TP1,Ames,1.0,4231,4.0,6,20,2369 X PHZ51,2022-05-22,68.0,139.76,2022-07-15,54,2022_Ames_4231,Ames_4231_20_6,train,0.7833333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_20_7.TIF,2022,TP1,Ames,1.0,4231,4.0,7,20,B37 X MO17,2022-05-22,71.0,115.26,2022-07-15,54,2022_Ames_4231,Ames_4231_20_7,train,0.9416666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_21_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,21,WF9 X H95,2022-05-22,72.0,63.36,2022-07-15,54,2022_Ames_4231,Ames_4231_21_2,train,0.9916666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_21_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,21,PHW52 X LH185,2022-05-22,60.0,137.73,2022-07-15,54,2022_Ames_4231,Ames_4231_21_3,train,0.5583333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_21_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,21,2369 X LH123HT,2022-05-22,62.0,95.28,2022-07-15,54,2022_Ames_4231,Ames_4231_21_4,train,0.9083333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_21_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,21,LH198 X PHZ51,2022-05-22,71.0,105.18,2022-07-15,54,2022_Ames_4231,Ames_4231_21_5,train,0.8
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_21_6.TIF,2022,TP1,Ames,1.0,4231,4.0,6,21,B73 X PHM49,2022-05-22,69.0,125.39,2022-07-15,54,2022_Ames_4231,Ames_4231_21_6,train,0.75
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_21_7.TIF,2022,TP1,Ames,1.0,4231,4.0,7,21,PHK56 X LH185,2022-05-22,63.0,173.47,2022-07-15,54,2022_Ames_4231,Ames_4231_21_7,train,0.4666666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_22_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,22,B14A X MO17,2022-05-22,60.0,99.32,2022-07-15,54,2022_Ames_4231,Ames_4231_22_2,train,0.675
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_22_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,22,PHP02 X PHG47,2022-05-22,56.0,141.99,2022-07-15,54,2022_Ames_4231,Ames_4231_22_3,train,0.5166666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_22_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,22,F42 X OH43,2022-05-22,71.0,75.38,2022-07-15,54,2022_Ames_4231,Ames_4231_22_4,train,0.7916666666666666
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_22_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,22,PHK76 X 3IIH6,2022-05-22,65.0,123.54,2022-07-15,54,2022_Ames_4231,Ames_4231_22_5,train,0.8666666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_23_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,23,PHB47 X 3IIH6,2022-05-22,66.0,142.83,2022-07-15,54,2022_Ames_4231,Ames_4231_23_3,train,0.875
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_23_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,23,HOEGEMEYER 7089 AMXT,2022-05-22,61.0,177.1,2022-07-15,54,2022_Ames_4231,Ames_4231_23_4,train,0.3333333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_23_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,23,PHK76 X LH198,2022-05-22,68.0,134.57,2022-07-15,54,2022_Ames_4231,Ames_4231_23_5,train,0.7
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_23_6.TIF,2022,TP1,Ames,1.0,4231,4.0,6,23,PHP02 X LH198,2022-05-22,69.0,185.41,2022-07-15,54,2022_Ames_4231,Ames_4231_23_6,train,0.5333333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_23_7.TIF,2022,TP1,Ames,1.0,4231,4.0,7,23,LH185 X LH82,2022-05-22,71.0,154.05,2022-07-15,54,2022_Ames_4231,Ames_4231_23_7,train,0.39166666666666666
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_24_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,24,PHP02 X W606S,2022-05-22,64.0,130.08,2022-07-15,54,2022_Ames_4231,Ames_4231_24_2,train,0.475
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_24_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,24,LH145 X LH162,2022-05-22,65.0,130.65,2022-07-15,54,2022_Ames_4231,Ames_4231_24_3,train,0.7333333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_24_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,24,PHW52 X PHZ51,2022-05-22,69.0,133.73,2022-07-15,54,2022_Ames_4231,Ames_4231_24_4,train,0.6083333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_24_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,24,HOEGEMEYER 8065RR,2022-05-22,61.0,164.28,2022-07-15,54,2022_Ames_4231,Ames_4231_24_5,train,0.30833333333333335
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_24_6.TIF,2022,TP1,Ames,1.0,4231,4.0,6,24,4N506 X 3IIH6,2022-05-22,67.0,145.85,2022-07-15,54,2022_Ames_4231,Ames_4231_24_6,train,0.7666666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_24_7.TIF,2022,TP1,Ames,1.0,4231,4.0,7,24,B37 X H95,2022-05-22,72.0,72.93,2022-07-15,54,2022_Ames_4231,Ames_4231_24_7,train,1.0
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_25_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,25,2FACC X 3IIH6,2022-05-22,63.0,150.24,2022-07-15,54,2022_Ames_4231,Ames_4231_25_2,train,0.55
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_25_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,25,PHP02 X PHK56,2022-05-22,56.0,160.54,2022-07-15,54,2022_Ames_4231,Ames_4231_25_3,train,0.425
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_25_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,25,PHN46 X W606S,2022-05-22,59.0,115.21,2022-07-15,54,2022_Ames_4231,Ames_4231_25_4,train,0.6916666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_25_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,25,LH123HT X PHB47,2022-05-22,68.0,125.3,2022-07-15,54,2022_Ames_4231,Ames_4231_25_5,train,0.9166666666666666
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_25_6.TIF,2022,TP1,Ames,1.0,4231,4.0,6,25,LH74 X PHN82,2022-05-22,68.0,154.07,2022-07-15,54,2022_Ames_4231,Ames_4231_25_6,train,0.6833333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_25_7.TIF,2022,TP1,Ames,1.0,4231,4.0,7,25,2369 X PHN82,2022-05-22,62.0,140.06,2022-07-15,54,2022_Ames_4231,Ames_4231_25_7,train,0.5833333333333334
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_26_2.TIF,2022,TP1,Ames,1.0,4231,4.0,2,26,PHN46 X PHB47,2022-05-22,61.0,119.34,2022-07-15,54,2022_Ames_4231,Ames_4231_26_2,train,0.575
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_26_3.TIF,2022,TP1,Ames,1.0,4231,4.0,3,26,PHK56 X W606S,2022-05-22,57.0,171.24,2022-07-15,54,2022_Ames_4231,Ames_4231_26_3,train,0.49166666666666664
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_26_4.TIF,2022,TP1,Ames,1.0,4231,4.0,4,26,LH195 X PHM49,2022-05-22,67.0,91.96,2022-07-15,54,2022_Ames_4231,Ames_4231_26_4,train,0.9833333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_26_5.TIF,2022,TP1,Ames,1.0,4231,4.0,5,26,PIONEER 1311 AMXT,2022-05-22,66.0,135.5,2022-07-15,54,2022_Ames_4231,Ames_4231_26_5,train,0.35
